run	ls	alcatracks	mode	mode_flag	mode_text
278727	32	2	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
278563	61	3409	DECO	GOOD	from_both_DB_and_S/N
278741	6	0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
274468	8	402	DECO	GOOD	from_both_DB_and_S/N
282843	7	346	DECO	GOOD	from_both_DB_and_S/N
282845	122	6525	DECO	GOOD	from_both_DB_and_S/N
274469	179	10500	DECO	GOOD	from_both_DB_and_S/N
276336	29	530	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
278754	161	8760	DECO	GOOD	from_both_DB_and_S/N
278755	26	1377	DECO	GOOD	from_both_DB_and_S/N
278756	23	399	DECO	GOOD	from_both_DB_and_S/N
274470	113	6392	DECO	GOOD	from_both_DB_and_S/N
278567	375	20887	DECO	GOOD	from_both_DB_and_S/N
283348	138	7891	DECO	GOOD	from_both_DB_and_S/N
282874	51	2628	DECO	GOOD	from_both_DB_and_S/N
282878	123	6256	DECO	GOOD	from_both_DB_and_S/N
266498	34	377	DECO	GOOD	from_both_DB_and_S/N
279065	27	128	DECO	GOOD	from_both_DB_and_S/N
278790	40	689	DECO	GOOD	from_both_DB_and_S/N
266503	25	287	DECO	GOOD	from_both_DB_and_S/N
266508	11	109	DECO	GOOD	from_both_DB_and_S/N
266510	15	104	DECO	GOOD	from_both_DB_and_S/N
266512	24	386	DECO	GOOD	from_both_DB_and_S/N
266513	68	1647	DECO	GOOD	from_both_DB_and_S/N
266516	43	97	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266519	3	5	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266520	31	91	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266521	20	48	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
266522	56	126	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
272667	206	8420	DECO	GOOD	from_both_DB_and_S/N
272668	19	891	DECO	GOOD	from_both_DB_and_S/N
272669	22	1192	DECO	GOOD	from_both_DB_and_S/N
272670	151	5620	DECO	GOOD	from_both_DB_and_S/N
266528	49	117	DECO	GOOD	from_both_DB_and_S/N
266530	31	869	DECO	GOOD	from_both_DB_and_S/N
266532	12	282	DECO	GOOD	from_both_DB_and_S/N
266534	161	4619	DECO	GOOD	from_both_DB_and_S/N
266535	234	7098	DECO	GOOD	from_both_DB_and_S/N
266536	337	9941	DECO	GOOD	from_both_DB_and_S/N
266537	387	11461	DECO	GOOD	from_both_DB_and_S/N
266538	170	4905	DECO	GOOD	from_both_DB_and_S/N
266539	122	3368	DECO	GOOD	from_both_DB_and_S/N
278829	2	23	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
282926	48	2456	DECO	GOOD	from_both_DB_and_S/N
266543	22	624	DECO	GOOD	from_both_DB_and_S/N
278832	159	8102	DECO	GOOD	from_both_DB_and_S/N
278838	9	347	DECO	GOOD	from_both_DB_and_S/N
278839	80	1694	DECO	GOOD	from_both_DB_and_S/N
282939	4	108	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
272700	75	1647	PEAK	GOOD	from_both_DB_and_S/N
274758	6	140	DECO	GOOD	from_both_DB_and_S/N
272711	51	3380	PEAK	GOOD	from_both_DB_and_S/N
272712	19	1241	PEAK	GOOD	from_both_DB_and_S/N
272714	56	3706	PEAK	GOOD	from_both_DB_and_S/N
272716	84	5519	PEAK	GOOD	from_both_DB_and_S/N
272717	21	634	PEAK	GOOD	from_both_DB_and_S/N
274771	33	84	DECO	GOOD	from_both_DB_and_S/N
283023	50	2566	DECO	GOOD	from_both_DB_and_S/N
274774	14	98	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)
274775	183	1631	DECO	GOOD	from_both_DB_and_S/N
274776	26	1411	DECO	GOOD	from_both_DB_and_S/N
274777	1486	81860	DECO	GOOD	from_both_DB_and_S/N
